"NPI","State","total_synthetic","total_opioids","percent_synthetic","percent_deaths"
"1003824731","MN","128","259","0.4942084942084942","9.538076666211594e-05"
"1003825720","KS","41","293","0.13993174061433447","0.00011472181514790993"
"1003830142","WI","38","479","0.07933194154488518","0.00014853606648982808"
"1003830530","NC","169","275","0.6145454545454545","0.00013789517935512173"
"1003835737","PA","26","118","0.22033898305084745","0.00021387525921219534"
"1003836024","UT","0","27","0","0.00020786853056598153"
"1003839200","MA","20","158","0.12658227848101267","0.0001925943368598965"
"1003839820","TX","13","39","0.3333333333333333","9.83432025015849e-05"
"1003841800","CA","0","160","0","0.00011794162977175439"
"1003843590","MA","48","215","0.22325581395348837","0.0001925943368598965"
"1003844507","CA","27","412","0.06553398058252427","0.00011794162977175439"
"1003847179","WA","12","12","1","0.00014043078254228773"
"1003847310","SC","0","82","0","0.00014681123279758752"
"1003847484","NY","0","26","0","0.00011704163328647767"
"1003847625","PA","0","34","0","0.00021387525921219534"
"1003852070","OH","115","502","0.2290836653386454","0.00023714852065646582"
"1003856089","TX","14","39","0.358974358974359","9.83432025015849e-05"
"1003859331","NY","15","102","0.14705882352941177","0.00011704163328647767"
"1003863283","CA","0","12","0","0.00011794162977175439"
"1003863697","WA","0","50","0","0.00014043078254228773"
"1003864042","FL","0","45","0","0.0001347117506083509"
"1003865601","NJ","22","22","1","0.0001407969737977169"
"1003865775","IL","0","51","0","0.00013235383731035268"
"1003866781","PA","0","0","0","0.00021387525921219534"
"1003867037","MT","43","117","0.36752136752136755","0.00012313269271497737"
"1003867540","FL","0","0","0","0.0001347117506083509"
"1003869819","NC","12","12","1","0.00013789517935512173"
"1003871443","MO","92","206","0.44660194174757284","0.00017653372149795232"
"1003871997","SC","57","187","0.3048128342245989","0.00014681123279758752"
"1003872169","CA","155","585","0.26495726495726496","0.00011794162977175439"
"1003872714","MO","0","0","0","0.00017653372149795232"
"1003873142","OR","0","0","0","0.00013282223067557407"
"1003875212","OK","84","598","0.14046822742474915","0.00020178841147591733"
"1003877523","MD","24","96","0.25","0.00018047454347530552"
"1003880873","NC","65","150","0.43333333333333335","0.00013789517935512173"
"1003881947","NY","0","41","0","0.00011704163328647767"
"1003882523","NJ","249","310","0.8032258064516129","0.0001407969737977169"
"1003882721","AL","0","100","0","0.0001495741790694624"
"1003884552","CA","36","142","0.2535211267605634","0.00011794162977175439"
"1003887290","MI","0","18","0","0.00017805853942278718"
"1003887936","OK","125","382","0.32722513089005234","0.00020178841147591733"
"1003888355","PA","0","28","0","0.00021387525921219534"
"1003889411","IL","70","195","0.358974358974359","0.00013235383731035268"
"1003889726","MA","25","77","0.3246753246753247","0.0001925943368598965"
"1003890179","MS","0","35","0","0.00011232923699362832"
"1003890237","KY","0","41","0","0.00024503474738328144"
"1003890344","MA","0","0","0","0.0001925943368598965"
"1003890948","PA","0","38","0","0.00021387525921219534"
"1003891623","NY","12","12","1","0.00011704163328647767"
"1003893132","CT","12","290","0.041379310344827586","0.00017324419923917154"
"1003893413","OH","13","58","0.22413793103448276","0.00023714852065646582"
"1003894619","MI","19","93","0.20430107526881722","0.00017805853942278718"
"1003898859","MS","49","138","0.35507246376811596","0.00011232923699362832"
"1003902511","CA","14","91","0.15384615384615385","0.00011794162977175439"
"1003905043","NM","0","15","0","0.0002623140124117208"
"1003908054","MI","0","15","0","0.00017805853942278718"
"1003908088","TX","0","20","0","9.83432025015849e-05"
"1003910399","AL","0","63","0","0.0001495741790694624"
"1003912031","PA","0","13","0","0.00021387525921219534"
"1003912783","KY","14","14","1","0.00024503474738328144"
"1003913468","TX","101","322","0.3136645962732919","9.83432025015849e-05"
"1003914227","CA","320","512","0.625","0.00011794162977175439"
"1003916677","FL","13","85","0.15294117647058825","0.0001347117506083509"
"1003917147","CA","0","60","0","0.00011794162977175439"
"1003921552","FL","121","420","0.28809523809523807","0.0001347117506083509"
"1003924093","SC","155","1167","0.1328191945158526","0.00014681123279758752"
"1003925249","OH","0","30","0","0.00023714852065646582"
"1003928953","NY","233","692","0.33670520231213874","0.00011704163328647767"
"1003936766","IL","61","254","0.24015748031496062","0.00013235383731035268"
"1003944646","ME","20","233","0.08583690987124463","0.00016261362250452081"
"1003947128","TN","89","282","0.31560283687943264","0.00019535164681900091"
"1003947961","TX","18","60","0.3","9.83432025015849e-05"
"1003949504","FL","17","17","1","0.0001347117506083509"
"1003955709","CA","0","77","0","0.00011794162977175439"
"1003961871","FL","0","35","0","0.0001347117506083509"
"1003962754","PA","0","0","0","0.00021387525921219534"
"1003963075","AR","0","69","0","0.00012029575183662215"
"1003964156","IL","24","97","0.24742268041237114","0.00013235383731035268"
"1003965062","PA","0","0","0","0.00021387525921219534"
"1003970856","WA","0","91","0","0.00014043078254228773"
"1003972183","WA","16","115","0.1391304347826087","0.00014043078254228773"
"1003973637","MD","25","25","1","0.00018047454347530552"
"1003974643","CA","0","30","0","0.00011794162977175439"
"1003974932","TX","0","15","0","9.83432025015849e-05"
"1003975707","TN","55","332","0.16566265060240964","0.00019535164681900091"
"1003977414","PA","0","20","0","0.00021387525921219534"
"1003977927","AZ","0","32","0","0.00018274765551810394"
"1003982463","NY","0","246","0","0.00011704163328647767"
"1003984915","GA","31","108","0.28703703703703703","0.000120694540033208"
"1003986589","ME","0","48","0","0.00016261362250452081"
"1003991779","CA","16","160","0.1","0.00011794162977175439"
"1003991902","TN","0","11","0","0.00019535164681900091"
"1003992033","NY","47","47","1","0.00011704163328647767"
"1003992140","ID","17","251","0.06772908366533864","0.00013150255313447502"
"1003992314","TX","0","30","0","9.83432025015849e-05"
"1003992926","NY","0","11","0","0.00011704163328647767"
"1003994914","CA","56","867","0.06459054209919261","0.00011794162977175439"
"1003994997","CA","28","637","0.04395604395604396","0.00011794162977175439"
"1003995234","AZ","0","17","0","0.00018274765551810394"
"1003999459","LA","57","145","0.3931034482758621","0.00016798292930231954"
"1003999582","MN","0","0","0","9.538076666211594e-05"
"1013001759","NY","0","36","0","0.00011704163328647767"
"1013003284","MO","0","14","0","0.00017653372149795232"
"1013003342","NY","0","28","0","0.00011704163328647767"
"1013004522","AR","0","113","0","0.00012029575183662215"
"1013005537","MI","19","167","0.11377245508982035","0.00017805853942278718"
"1013008408","UT","0","45","0","0.00020786853056598153"
"1013011394","IL","48","223","0.21524663677130046","0.00013235383731035268"
"1013017102","CA","20","155","0.12903225806451613","0.00011794162977175439"
"1013019108","CO","0","32","0","0.00017064111137284096"
"1013020569","WV","0","47","0","0.000338132258788203"
"1013020700","TX","0","19","0","9.83432025015849e-05"
"1013023548","FL","11","33","0.3333333333333333","0.0001347117506083509"
"1013034933","TN","0","19","0","0.00019535164681900091"
"1013043280","CA","0","41","0","0.00011794162977175439"
"1013043744","TX","13","46","0.2826086956521739","9.83432025015849e-05"
"1013053669","CA","0","12","0","0.00011794162977175439"
"1013054386","CO","0","0","0","0.00017064111137284096"
"1013059716","NJ","11","40","0.275","0.0001407969737977169"
"1013062348","ME","27","156","0.17307692307692307","0.00016261362250452081"
"1013064310","AR","0","172","0","0.00012029575183662215"
"1013067602","MI","0","13","0","0.00017805853942278718"
"1013069780","TX","390","1964","0.1985743380855397","9.83432025015849e-05"
"1013070994","NY","0","11","0","0.00011704163328647767"
"1013072461","AL","61","61","1","0.0001495741790694624"
"1013073253","IL","0","51","0","0.00013235383731035268"
"1013076587","NC","0","14","0","0.00013789517935512173"
"1013081322","OH","0","66","0","0.00023714852065646582"
"1013088947","KY","73","137","0.5328467153284672","0.00024503474738328144"
"1013091941","NY","12","184","0.06521739130434782","0.00011704163328647767"
"1013095660","CA","0","36","0","0.00011794162977175439"
"1013098235","AL","0","19","0","0.0001495741790694624"
"1013099399","TX","28","65","0.4307692307692308","9.83432025015849e-05"
"1013101443","GA","0","0","0","0.000120694540033208"
"1013103159","NY","0","0","0","0.00011704163328647767"
"1013109461","CA","0","43","0","0.00011794162977175439"
"1013111681","TX","0","16","0","9.83432025015849e-05"
"1013113844","OH","0","77","0","0.00023714852065646582"
"1013114586","WA","0","0","0","0.00014043078254228773"
"1013126200","TX","0","17","0","9.83432025015849e-05"
"1013127737","MI","0","69","0","0.00017805853942278718"
"1013131119","WV","0","12","0","0.000338132258788203"
"1013134295","MI","94","2119","0.04436054742803209","0.00017805853942278718"
"1013140847","MO","0","16","0","0.00017653372149795232"
"1013144955","TX","12","12","1","9.83432025015849e-05"
"1013152016","FL","83","83","1","0.0001347117506083509"
"1013157353","CA","20","107","0.18691588785046728","0.00011794162977175439"
"1013158922","MA","0","15","0","0.0001925943368598965"
"1013159581","MD","65","107","0.6074766355140186","0.00018047454347530552"
"1013162452","CA","0","0","0","0.00011794162977175439"
"1013166156","FL","22","48","0.4583333333333333","0.0001347117506083509"
"1013168004","VA","0","36","0","0.00011863825078794562"
"1013177427","MA","0","0","0","0.0001925943368598965"
"1013197979","WI","0","59","0","0.00014853606648982808"
"1013198035","PA","36","181","0.19889502762430938","0.00021387525921219534"
"1013202738","CA","39","201","0.19402985074626866","0.00011794162977175439"
"1013203058","WV","74","112","0.6607142857142857","0.000338132258788203"
"1013204734","WV","0","0","0","0.000338132258788203"
"1013206051","MO","28","126","0.2222222222222222","0.00017653372149795232"
"1013208495","ID","0","0","0","0.00013150255313447502"
"1013220912","OH","0","24","0","0.00023714852065646582"
"1013222603","AL","0","0","0","0.0001495741790694624"
"1013223866","MI","0","14","0","0.00017805853942278718"
"1013241132","WA","0","19","0","0.00014043078254228773"
"1013257468","WA","0","20","0","0.00014043078254228773"
"1013257914","PA","31","355","0.08732394366197183","0.00021387525921219534"
"1013267152","MS","113","671","0.16840536512667661","0.00011232923699362832"
"1013273853","KY","21","45","0.4666666666666667","0.00024503474738328144"
"1013279462","GA","0","59","0","0.000120694540033208"
"1013281609","AR","0","18","0","0.00012029575183662215"
"1013284496","TX","20","20","1","9.83432025015849e-05"
"1013296326","CA","0","99","0","0.00011794162977175439"
"1013319854","WA","0","11","0","0.00014043078254228773"
"1013357383","PA","0","11","0","0.00021387525921219534"
"1013359439","TN","0","17","0","0.00019535164681900091"
"1013901453","CT","0","12","0","0.00017324419923917154"
"1013905017","CA","29","176","0.16477272727272727","0.00011794162977175439"
"1013907419","IN","779","1247","0.6246992782678428","0.00017836211832104634"
"1013912039","MD","12","40","0.3","0.00018047454347530552"
"1013912583","VA","260","915","0.28415300546448086","0.00011863825078794562"
"1013914399","IA","208","466","0.44635193133047213","8.542539256850857e-05"
"1013916634","TX","22","22","1","9.83432025015849e-05"
"1013919117","CO","35","445","0.07865168539325842","0.00017064111137284096"
"1013924349","WI","0","0","0","0.00014853606648982808"
"1013924695","GA","42","91","0.46153846153846156","0.000120694540033208"
"1013926021","OH","0","0","0","0.00023714852065646582"
"1013929769","NY","26","26","1","0.00011704163328647767"
"1013929900","CA","0","33","0","0.00011794162977175439"
"1013932003","GA","247","626","0.39456869009584666","0.000120694540033208"
"1013934017","MN","373","630","0.5920634920634921","9.538076666211594e-05"
"1013935303","PA","114","251","0.4541832669322709","0.00021387525921219534"
"1013937077","NY","0","21","0","0.00011704163328647767"
"1013941475","CA","0","0","0","0.00011794162977175439"
"1013942572","CA","0","32","0","0.00011794162977175439"
"1013942739","TN","0","100","0","0.00019535164681900091"
"1013947621","CT","73","199","0.36683417085427134","0.00017324419923917154"
"1013948892","SC","0","15","0","0.00014681123279758752"
"1013949551","MA","37","415","0.0891566265060241","0.0001925943368598965"
"1013952050","IN","29","86","0.3372093023255814","0.00017836211832104634"
"1013952878","PA","0","113","0","0.00021387525921219534"
"1013954494","FL","46","80","0.575","0.0001347117506083509"
"1013954742","NC","15","57","0.2631578947368421","0.00013789517935512173"
"1013956861","OH","0","37","0","0.00023714852065646582"
"1013957026","NV","0","17","0","0.00019533098028196475"
"1013960400","FL","0","0","0","0.0001347117506083509"
"1013962299","FL","251","436","0.5756880733944955","0.0001347117506083509"
"1013962539","TX","0","69","0","9.83432025015849e-05"
"1013962869","FL","16","99","0.16161616161616163","0.0001347117506083509"
"1013968478","SC","175","278","0.6294964028776978","0.00014681123279758752"
"1013970433","SC","42","184","0.22826086956521738","0.00014681123279758752"
"1013972660","PA","20","38","0.5263157894736842","0.00021387525921219534"
"1013972959","GA","0","36","0","0.000120694540033208"
"1013973858","VT","14","122","0.11475409836065574","0.00013245455851140225"
"1013978287","MD","0","14","0","0.00018047454347530552"
"1013978626","PA","34","34","1","0.00021387525921219534"
"1013979012","MD","0","30","0","0.00018047454347530552"
"1013980531","MI","184","2119","0.08683341198678622","0.00017805853942278718"
"1013985605","OH","0","22","0","0.00023714852065646582"
"1013987064","MO","14","178","0.07865168539325842","0.00017653372149795232"
"1013992478","PA","0","40","0","0.00021387525921219534"
"1013992650","MN","0","0","0","9.538076666211594e-05"
"1013993005","IL","0","18","0","0.00013235383731035268"
"1013996701","IL","0","20","0","0.00013235383731035268"
"1013997683","FL","118","556","0.21223021582733814","0.0001347117506083509"
"1013998269","MA","14","74","0.1891891891891892","0.0001925943368598965"
"1023000833","OH","26","69","0.37681159420289856","0.00023714852065646582"
"1023000916","NY","0","35","0","0.00011704163328647767"
"1023002573","MO","0","13","0","0.00017653372149795232"
"1023003407","TX","0","17","0","9.83432025015849e-05"
"1023005543","WA","0","0","0","0.00014043078254228773"
"1023005899","NC","0","0","0","0.00013789517935512173"
"1023005923","CA","0","58","0","0.00011794162977175439"
"1023006020","NY","0","0","0","0.00011704163328647767"
"1023006772","MA","15","43","0.3488372093023256","0.0001925943368598965"
"1023008216","MD","15","44","0.3409090909090909","0.00018047454347530552"
"1023010717","MT","0","13","0","0.00012313269271497737"
"1023011897","NE","0","118","0","6.689800890118148e-05"
"1023013356","OR","0","23","0","0.00013282223067557407"
"1023014149","NC","0","14","0","0.00013789517935512173"
"1023014917","TX","0","13","0","9.83432025015849e-05"
"1023016615","DE","0","11","0","0.00020415901070376527"
"1023018009","CA","17","59","0.288135593220339","0.00011794162977175439"
"1023018728","TN","35","131","0.26717557251908397","0.00019535164681900091"
"1023019064","LA","0","74","0","0.00016798292930231954"
"1023019825","TN","0","13","0","0.00019535164681900091"
"1023024734","MD","0","11","0","0.00018047454347530552"
"1023026127","FL","77","818","0.0941320293398533","0.0001347117506083509"
"1023029790","NY","12","77","0.15584415584415584","0.00011704163328647767"
"1023030871","CO","0","0","0","0.00017064111137284096"
"1023031200","NY","0","17","0","0.00011704163328647767"
"1023035094","GA","342","1411","0.24238128986534374","0.000120694540033208"
"1023035458","TX","0","31","0","9.83432025015849e-05"
"1023035516","CO","0","0","0","0.00017064111137284096"
"1023037868","WA","0","32","0","0.00014043078254228773"
"1023040185","MD","0","37","0","0.00018047454347530552"
"1023040243","FL","43","143","0.3006993006993007","0.0001347117506083509"
"1023041076","TX","0","0","0","9.83432025015849e-05"
"1023043635","CA","0","96","0","0.00011794162977175439"
"1023043932","MA","0","0","0","0.0001925943368598965"
"1023045135","NC","52","89","0.5842696629213483","0.00013789517935512173"
"1023049525","MA","0","13","0","0.0001925943368598965"
"1023050010","VA","0","0","0","0.00011863825078794562"
"1023050515","VA","0","0","0","0.00011863825078794562"
"1023051315","IL","0","51","0","0.00013235383731035268"
"1023051521","ME","0","0","0","0.00016261362250452081"
"1023052271","TN","0","23","0","0.00019535164681900091"
"1023053295","NC","37","68","0.5441176470588235","0.00013789517935512173"
"1023057353","TX","0","57","0","9.83432025015849e-05"
"1023058815","TX","104","201","0.5174129353233831","9.83432025015849e-05"
"1023060233","CA","17","17","1","0.00011794162977175439"
"1023062353","PA","43","43","1","0.00021387525921219534"
"1023062759","MI","0","0","0","0.00017805853942278718"
"1023067972","TN","0","67","0","0.00019535164681900091"
"1023070364","WI","0","11","0","0.00014853606648982808"
"1023076098","FL","13","13","1","0.0001347117506083509"
"1023077336","AR","95","1063","0.08936970837253057","0.00012029575183662215"
"1023078722","TX","0","15","0","9.83432025015849e-05"
"1023079084","NJ","0","44","0","0.0001407969737977169"
"1023079225","MI","0","71","0","0.00017805853942278718"
"1023079431","NY","0","0","0","0.00011704163328647767"
"1023081551","VA","155","889","0.17435320584926883","0.00011863825078794562"
"1023084142","VA","107","200","0.535","0.00011863825078794562"
"1023084266","AZ","0","59","0","0.00018274765551810394"
"1023085081","GA","111","111","1","0.000120694540033208"
"1023086725","IN","35","328","0.10670731707317073","0.00017836211832104634"
"1023087566","MA","43","195","0.2205128205128205","0.0001925943368598965"
"1023087715","MN","0","74","0","9.538076666211594e-05"
"1023087921","FL","59","131","0.45038167938931295","0.0001347117506083509"
"1023087962","SC","11","11","1","0.00014681123279758752"
"1023088143","TX","0","17","0","9.83432025015849e-05"
"1023088960","VA","0","29","0","0.00011863825078794562"
"1023095734","AZ","0","80","0","0.00018274765551810394"
"1023095775","MN","35","55","0.6363636363636364","9.538076666211594e-05"
"1023097847","WA","12","54","0.2222222222222222","0.00014043078254228773"
"1023100690","NY","17","17","1","0.00011704163328647767"
"1023100773","MO","306","1173","0.2608695652173913","0.00017653372149795232"
"1023100914","TN","159","184","0.8641304347826086","0.00019535164681900091"
"1023101649","TX","11","88","0.125","9.83432025015849e-05"
"1023102803","MI","0","14","0","0.00017805853942278718"
"1023105038","TN","0","0","0","0.00019535164681900091"
"1023105467","WI","0","0","0","0.00014853606648982808"
"1023109394","NY","0","26","0","0.00011704163328647767"
"1023109899","IN","0","66","0","0.00017836211832104634"
"1023112752","NY","30","75","0.4","0.00011704163328647767"
"1023115334","MS","0","28","0","0.00011232923699362832"
"1023116373","MN","0","27","0","9.538076666211594e-05"
"1023116514","IN","0","0","0","0.00017836211832104634"
"1023119195","NJ","46","63","0.7301587301587301","0.0001407969737977169"
"1023120060","CA","16","46","0.34782608695652173","0.00011794162977175439"
"1023125127","IL","0","17","0","0.00013235383731035268"
"1023131778","CA","0","30","0","0.00011794162977175439"
"1023137551","NY","184","358","0.5139664804469274","0.00011704163328647767"
"1023138195","OK","0","0","0","0.00020178841147591733"
"1023142684","OH","38","52","0.7307692307692307","0.00023714852065646582"
"1023147410","TX","0","201","0","9.83432025015849e-05"
"1023149481","FL","82","280","0.29285714285714287","0.0001347117506083509"
"1023153723","CO","93","338","0.27514792899408286","0.00017064111137284096"
"1023154259","FL","0","0","0","0.0001347117506083509"
"1023156791","OK","22","37","0.5945945945945946","0.00020178841147591733"
"1023157773","IN","22","22","1","0.00017836211832104634"
"1023166931","CA","78","554","0.1407942238267148","0.00011794162977175439"
"1023167376","NY","0","12","0","0.00011704163328647767"
"1023169133","CT","0","0","0","0.00017324419923917154"
"1023175320","KY","0","114","0","0.00024503474738328144"
"1023178530","NM","0","66","0","0.0002623140124117208"
"1023181427","MI","0","0","0","0.00017805853942278718"
"1023185030","CA","0","49","0","0.00011794162977175439"
"1023187622","WA","0","163","0","0.00014043078254228773"
"1023192481","LA","0","17","0","0.00016798292930231954"
"1023193786","CA","22","284","0.07746478873239436","0.00011794162977175439"
"1023195807","TN","0","87","0","0.00019535164681900091"
"1023198967","AZ","13","13","1","0.00018274765551810394"
"1023199213","AL","0","22","0","0.0001495741790694624"
"1023211547","TX","11","31","0.3548387096774194","9.83432025015849e-05"
"1023213238","CO","202","463","0.43628509719222464","0.00017064111137284096"
"1023213287","UT","0","21","0","0.00020786853056598153"
"1023213865","MA","0","0","0","0.0001925943368598965"
"1023217577","CA","0","24","0","0.00011794162977175439"
"1023223708","NH","0","27","0","0.0002523689815853759"
"1023227493","VA","0","31","0","0.00011863825078794562"
"1023228624","AL","58","144","0.4027777777777778","0.0001495741790694624"
"1023229770","LA","0","13","0","0.00016798292930231954"
"1023233129","GA","81","162","0.5","0.000120694540033208"
"1023239191","CA","0","148","0","0.00011794162977175439"
"1023240645","CO","0","11","0","0.00017064111137284096"
"1023241593","MA","0","32","0","0.0001925943368598965"
"1023246253","LA","0","11","0","0.00016798292930231954"
"1023253531","IL","31","186","0.16666666666666666","0.00013235383731035268"
"1023259819","CA","0","12","0","0.00011794162977175439"
"1023263811","PA","0","13","0","0.00021387525921219534"
"1023267366","NC","11","35","0.3142857142857143","0.00013789517935512173"
"1023273620","CT","0","0","0","0.00017324419923917154"
"1023290533","CA","0","16","0","0.00011794162977175439"
"1023292596","AL","0","27","0","0.0001495741790694624"
"1023294154","TN","0","20","0","0.00019535164681900091"
"1023297397","NC","71","194","0.36597938144329895","0.00013789517935512173"
"1023307998","TN","23","253","0.09090909090909091","0.00019535164681900091"
"1023309887","NC","0","0","0","0.00013789517935512173"
"1023309986","AR","0","21","0","0.00012029575183662215"
"1023316452","AZ","0","83","0","0.00018274765551810394"
"1023324415","OR","38","507","0.07495069033530571","0.00013282223067557407"
"1023326923","CA","0","59","0","0.00011794162977175439"
"1023329216","MO","0","0","0","0.00017653372149795232"
"1023336104","NE","0","64","0","6.689800890118148e-05"
"1023336211","IN","0","53","0","0.00017836211832104634"
"1023336526","NC","46","91","0.5054945054945055","0.00013789517935512173"
"1023338183","MS","0","0","0","0.00011232923699362832"
"1023338340","TX","0","14","0","9.83432025015849e-05"
"1023346459","CA","0","0","0","0.00011794162977175439"
"1023360765","MN","15","36","0.4166666666666667","9.538076666211594e-05"
"1023371044","SC","0","39","0","0.00014681123279758752"
"1023373479","IL","12","12","1","0.00013235383731035268"
"1023379203","NY","0","33","0","0.00011704163328647767"
"1023379989","WA","0","21","0","0.00014043078254228773"
"1023380599","FL","46","46","1","0.0001347117506083509"
"1023392636","ID","0","24","0","0.00013150255313447502"
"1023397940","OR","0","15","0","0.00013282223067557407"
"1023436763","NC","0","11","0","0.00013789517935512173"
"1023446473","TX","0","50","0","9.83432025015849e-05"
"1023451887","MI","26","118","0.22033898305084745","0.00017805853942278718"
"1023455805","OR","0","66","0","0.00013282223067557407"
"1033100334","OH","0","20","0","0.00023714852065646582"
"1033100615","AZ","11","11","1","0.00018274765551810394"
"1033101415","TX","194","1218","0.1592775041050903","9.83432025015849e-05"
"1033102777","NJ","0","13","0","0.0001407969737977169"
"1033102918","OH","150","309","0.4854368932038835","0.00023714852065646582"
"1033104815","NJ","0","0","0","0.0001407969737977169"
"1033106331","MI","13","228","0.05701754385964912","0.00017805853942278718"
"1033107941","MD","134","224","0.5982142857142857","0.00018047454347530552"
"1033108436","AL","0","152","0","0.0001495741790694624"
"1033109236","RI","112","353","0.31728045325779036","0.00023490006286191965"
"1033109806","CO","38","105","0.3619047619047619","0.00017064111137284096"
"1033109939","FL","17","277","0.061371841155234655","0.0001347117506083509"
"1033112081","NC","0","0","0","0.00013789517935512173"
"1033114459","TX","0","51","0","9.83432025015849e-05"
"1033115241","PA","184","681","0.2701908957415565","0.00021387525921219534"
"1033118898","SC","15","85","0.17647058823529413","0.00014681123279758752"
"1033119045","NY","0","0","0","0.00011704163328647767"
"1033119169","TX","70","70","1","9.83432025015849e-05"
"1033123393","PA","0","29","0","0.00021387525921219534"
"1033126578","GA","0","0","0","0.000120694540033208"
"1033128475","WI","0","68","0","0.00014853606648982808"
"1033128574","MD","18","100","0.18","0.00018047454347530552"
"1033129671","VA","0","32","0","0.00011863825078794562"
"1033132147","MN","0","0","0","9.538076666211594e-05"
"1033134382","IN","16","134","0.11940298507462686","0.00017836211832104634"
"1033134796","ME","0","49","0","0.00016261362250452081"
"1033140876","CT","0","0","0","0.00017324419923917154"
"1033140918","KY","12","12","1","0.00024503474738328144"
"1033141189","LA","0","11","0","0.00016798292930231954"
"1033141585","WA","0","18","0","0.00014043078254228773"
"1033141635","KS","0","0","0","0.00011472181514790993"
"1033142203","WI","15","109","0.13761467889908258","0.00014853606648982808"
"1033142641","TX","17","41","0.4146341463414634","9.83432025015849e-05"
"1033143169","KY","0","33","0","0.00024503474738328144"
"1033143318","WI","42","92","0.45652173913043476","0.00014853606648982808"
"1033148473","OH","0","41","0","0.00023714852065646582"
"1033149653","NC","0","34","0","0.00013789517935512173"
"1033154000","GA","15","127","0.11811023622047244","0.000120694540033208"
"1033156849","UT","0","0","0","0.00020786853056598153"
